merchant_id,merchant_name,merchant_address,merchant_email,merchant_phone
501,Uche Mohammed Stores,"63 Ahmadu Bello Way, Kano",uche.mohammed1@mail.com,+234782770307
502,Abubakar Eze General Merchants,"114 Allen Avenue, Port Harcourt",abubakar.eze2@mail.com,+234704236016
503,Abubakar Akinyemi Enterprises,"88 Awolowo Road, Enugu",abubakar.akinyemi3@mail.com,+234705859720
504,Chinedu Balogun Trading Co,"21 Allen Avenue, Abuja",chinedu.balogun4@mail.com,+234704443655
505,Kelechi Ibrahim Global Ventures,"14 Allen Avenue, Enugu",kelechi.ibrahim5@mail.com,+234758645511
506,Chinedu Eze Global Ventures,"194 Ahmadu Bello Way, Lagos",chinedu.eze6@mail.com,+234769621581
507,Suleiman Usman Ventures,"278 Awolowo Road, Kano",suleiman.usman7@mail.com,+234732580817
508,Chukwuemeka Bello Enterprises,"281 Lagos Island Road, Kaduna",chukwuemeka.bello8@mail.com,+234702228501
509,Kelechi Nwankwo Distribution Ltd,"202 Ikorodu Road, Enugu",kelechi.nwankwo9@mail.com,+234709975969
510,Femi Ojo Trading Co,"216 Allen Avenue, Port Harcourt",femi.ojo10@mail.com,+234774532130
511,Oluwaseun Ademola Distribution Ltd,"258 Herbert Macaulay Way, Kano",oluwaseun.ademola11@mail.com,+234700312981
512,Femi Usman Trading Co,"222 Ahmadu Bello Way, Enugu",femi.usman12@mail.com,+234711770475
513,Adebayo Okeke Stores,"185 Herbert Macaulay Way, Kaduna",adebayo.okeke13@mail.com,+234790793331
514,Kelechi Ojo Retailers,"146 Awolowo Road, Abuja",kelechi.ojo14@mail.com,+234773206076
515,Uche Okeke Ventures,"202 Ahmadu Bello Way, Ibadan",uche.okeke15@mail.com,+234763654645
516,Adebayo Ibrahim Distribution Ltd,"247 Ikorodu Road, Ibadan",adebayo.ibrahim16@mail.com,+234739022450
517,Chinedu Okafor Global Ventures,"37 Broad Street, Kano",chinedu.okafor17@mail.com,+234701107030
518,Chinedu Bello Global Ventures,"245 Allen Avenue, Abuja",chinedu.bello18@mail.com,+234701570326
519,Chukwuemeka Danladi General Merchants,"50 Herbert Macaulay Way, Abuja",chukwuemeka.danladi19@mail.com,+234744142588
520,Yakubu Okafor Enterprises,"243 Broad Street, Ibadan",yakubu.okafor20@mail.com,+234761414448
521,Abubakar Nwankwo Global Ventures,"26 Awolowo Road, Port Harcourt",abubakar.nwankwo21@mail.com,+234796878981
522,Abubakar Ibrahim Retailers,"241 Herbert Macaulay Way, Port Harcourt",abubakar.ibrahim22@mail.com,+234737731883
523,Femi Mohammed General Merchants,"53 Herbert Macaulay Way, Ibadan",femi.mohammed23@mail.com,+234771203676
524,Uche Ibrahim Trading Co,"287 Ikorodu Road, Ibadan",uche.ibrahim24@mail.com,+234768519524
525,Abubakar Okafor Supermarket,"34 Allen Avenue, Kano",abubakar.okafor25@mail.com,+234768459160
526,Abubakar Danladi Enterprises,"294 Ahmadu Bello Way, Ibadan",abubakar.danladi26@mail.com,+234727528607
527,Kelechi Okeke Stores,"193 Herbert Macaulay Way, Kaduna",kelechi.okeke27@mail.com,+234737745122
528,Ibrahim Bello Stores,"227 Ahmadu Bello Way, Kano",ibrahim.bello28@mail.com,+234784406227
529,Chukwuemeka Okeke Global Ventures,"19 Ikorodu Road, Port Harcourt",chukwuemeka.okeke29@mail.com,+234786313387
530,Tunde Usman Retailers,"289 Ikorodu Road, Enugu",tunde.usman30@mail.com,+234792946702
531,Femi Ojo Stores,"187 Herbert Macaulay Way, Lagos",femi.ojo31@mail.com,+234719357893
532,Bola Ojo Enterprises,"274 Ahmadu Bello Way, Abuja",bola.ojo32@mail.com,+234747131199
533,Chukwuemeka Ademola Retailers,"10 Ahmadu Bello Way, Lagos",chukwuemeka.ademola33@mail.com,+234706918282
534,Oluwaseun Usman Distribution Ltd,"138 Ahmadu Bello Way, Ibadan",oluwaseun.usman34@mail.com,+234769683359
535,Ibrahim Danladi Stores,"264 Lagos Island Road, Kaduna",ibrahim.danladi35@mail.com,+234741090758
536,Yakubu Bello Trading Co,"113 Herbert Macaulay Way, Abuja",yakubu.bello36@mail.com,+234760397835
537,Adebayo Danladi Supermarket,"221 Lagos Island Road, Kaduna",adebayo.danladi37@mail.com,+234775502208
538,Chukwuemeka Balogun Distribution Ltd,"116 Ahmadu Bello Way, Enugu",chukwuemeka.balogun38@mail.com,+234701813344
539,Abubakar Okafor Trading Co,"28 Lagos Island Road, Port Harcourt",abubakar.okafor39@mail.com,+234754737791
540,Femi Balogun Trading Co,"63 Allen Avenue, Port Harcourt",femi.balogun40@mail.com,+234723864835
541,Abubakar Ademola Stores,"294 Awolowo Road, Enugu",abubakar.ademola41@mail.com,+234795887515
542,Uche Ibrahim General Merchants,"79 Ahmadu Bello Way, Port Harcourt",uche.ibrahim42@mail.com,+234728159582
543,Chukwuemeka Usman Global Ventures,"98 Ahmadu Bello Way, Ibadan",chukwuemeka.usman43@mail.com,+234754803763
544,Abubakar Balogun Distribution Ltd,"32 Herbert Macaulay Way, Port Harcourt",abubakar.balogun44@mail.com,+234776261337
545,Abubakar Nwankwo Retailers,"96 Ikorodu Road, Abuja",abubakar.nwankwo45@mail.com,+234799806060
546,Oluwaseun Mohammed Global Ventures,"236 Allen Avenue, Lagos",oluwaseun.mohammed46@mail.com,+234791525497
547,Yakubu Balogun Trading Co,"33 Lagos Island Road, Port Harcourt",yakubu.balogun47@mail.com,+234729651766
548,Adebayo Okeke General Merchants,"229 Lagos Island Road, Kaduna",adebayo.okeke48@mail.com,+234717447030
549,Adebayo Eze Enterprises,"153 Allen Avenue, Enugu",adebayo.eze49@mail.com,+234722252831
550,Chinedu Balogun General Merchants,"45 Allen Avenue, Lagos",chinedu.balogun50@mail.com,+234743100996
551,Emeka Nwankwo General Merchants,"127 Awolowo Road, Kano",emeka.nwankwo51@mail.com,+234774360662
552,Abubakar Mohammed Enterprises,"179 Allen Avenue, Lagos",abubakar.mohammed52@mail.com,+234806833414
553,Abubakar Ojo Enterprises,"182 Ahmadu Bello Way, Abuja",abubakar.ojo53@mail.com,+234797386107
554,Femi Danladi Trading Co,"18 Broad Street, Abuja",femi.danladi54@mail.com,+234733342783
555,Emeka Balogun Ventures,"237 Ikorodu Road, Lagos",emeka.balogun55@mail.com,+234763027102
556,Ibrahim Bello Supermarket,"131 Herbert Macaulay Way, Enugu",ibrahim.bello56@mail.com,+234797912182
557,Chukwuemeka Ademola Retailers,"42 Lagos Island Road, Kaduna",chukwuemeka.ademola57@mail.com,+234713891954
558,Kelechi Ademola General Merchants,"60 Awolowo Road, Abuja",kelechi.ademola58@mail.com,+234799341722
559,Bola Okeke General Merchants,"110 Ikorodu Road, Enugu",bola.okeke59@mail.com,+234736073717
560,Ibrahim Balogun Supermarket,"10 Broad Street, Abuja",ibrahim.balogun60@mail.com,+234766293887
561,Abubakar Nwankwo Ventures,"159 Ahmadu Bello Way, Enugu",abubakar.nwankwo61@mail.com,+234713968257
562,Suleiman Nwankwo Enterprises,"134 Allen Avenue, Kano",suleiman.nwankwo62@mail.com,+234782423106
563,Uche Danladi Ventures,"122 Lagos Island Road, Kano",uche.danladi63@mail.com,+234740233901
564,Yakubu Akinyemi Global Ventures,"142 Ikorodu Road, Kano",yakubu.akinyemi64@mail.com,+234738766949
565,Yakubu Mohammed Enterprises,"258 Broad Street, Enugu",yakubu.mohammed65@mail.com,+234771800686
566,Ibrahim Okafor Stores,"296 Herbert Macaulay Way, Ibadan",ibrahim.okafor66@mail.com,+234802565120
567,Chinedu Ojo General Merchants,"59 Herbert Macaulay Way, Ibadan",chinedu.ojo67@mail.com,+234741913801
568,Abubakar Mohammed Stores,"117 Ahmadu Bello Way, Enugu",abubakar.mohammed68@mail.com,+234794399261
569,Uche Nwankwo Stores,"186 Awolowo Road, Ibadan",uche.nwankwo69@mail.com,+234762976447
570,Femi Eze Stores,"274 Awolowo Road, Abuja",femi.eze70@mail.com,+234708724433
571,Femi Akinyemi Stores,"175 Broad Street, Kaduna",femi.akinyemi71@mail.com,+234718346737
572,Ibrahim Balogun Trading Co,"187 Ikorodu Road, Lagos",ibrahim.balogun72@mail.com,+234749754905
573,Kelechi Ademola Stores,"49 Lagos Island Road, Abuja",kelechi.ademola73@mail.com,+234771350837
574,Adebayo Bello Enterprises,"264 Awolowo Road, Kano",adebayo.bello74@mail.com,+234802587000
575,Yakubu Okeke Stores,"22 Awolowo Road, Port Harcourt",yakubu.okeke75@mail.com,+234722611889
576,Tunde Okeke Ventures,"82 Ikorodu Road, Ibadan",tunde.okeke76@mail.com,+234743064290
577,Adebayo Mohammed Supermarket,"155 Awolowo Road, Port Harcourt",adebayo.mohammed77@mail.com,+234762502688
578,Ibrahim Mohammed Trading Co,"156 Allen Avenue, Kaduna",ibrahim.mohammed78@mail.com,+234711691039
579,Kelechi Okeke Ventures,"110 Lagos Island Road, Ibadan",kelechi.okeke79@mail.com,+234800086507
580,Ibrahim Bello Supermarket,"179 Herbert Macaulay Way, Ibadan",ibrahim.bello80@mail.com,+234795378365
581,Suleiman Mohammed Distribution Ltd,"268 Allen Avenue, Ibadan",suleiman.mohammed81@mail.com,+234796012298
582,Ibrahim Okeke General Merchants,"172 Ikorodu Road, Lagos",ibrahim.okeke82@mail.com,+234802084982
583,Adebayo Ademola Supermarket,"189 Ahmadu Bello Way, Ibadan",adebayo.ademola83@mail.com,+234715868233
584,Ibrahim Eze General Merchants,"275 Ahmadu Bello Way, Kaduna",ibrahim.eze84@mail.com,+234794047332
585,Oluwaseun Balogun Global Ventures,"156 Allen Avenue, Kaduna",oluwaseun.balogun85@mail.com,+234794601194
586,Adebayo Balogun Trading Co,"47 Ahmadu Bello Way, Lagos",adebayo.balogun86@mail.com,+234774899223
587,Abubakar Ademola Ventures,"130 Allen Avenue, Lagos",abubakar.ademola87@mail.com,+234710167245
588,Bola Balogun Trading Co,"134 Awolowo Road, Lagos",bola.balogun88@mail.com,+234768827826
589,Adebayo Nwankwo Retailers,"50 Ikorodu Road, Port Harcourt",adebayo.nwankwo89@mail.com,+234704457547
590,Emeka Balogun Stores,"270 Broad Street, Abuja",emeka.balogun90@mail.com,+234734766265
591,Emeka Danladi Ventures,"130 Herbert Macaulay Way, Lagos",emeka.danladi91@mail.com,+234734278880
592,Tunde Balogun Supermarket,"229 Awolowo Road, Abuja",tunde.balogun92@mail.com,+234781420413
593,Kelechi Balogun Global Ventures,"282 Lagos Island Road, Port Harcourt",kelechi.balogun93@mail.com,+234802892990
594,Suleiman Danladi Supermarket,"30 Ikorodu Road, Kano",suleiman.danladi94@mail.com,+234790028094
595,Emeka Mohammed General Merchants,"298 Allen Avenue, Port Harcourt",emeka.mohammed95@mail.com,+234783031788
596,Abubakar Akinyemi Supermarket,"289 Ahmadu Bello Way, Ibadan",abubakar.akinyemi96@mail.com,+234721755513
597,Ibrahim Balogun Retailers,"149 Awolowo Road, Abuja",ibrahim.balogun97@mail.com,+234720219453
